id;Full_Name;Project_id;Nomination;Prize;login;password
1;Автоном Димитриевич Гуляев;7851;Меняющие реальность;2874000;Автоном_ДГ;va)X1p!Za3
2;Ольга Матвеевна Журавлева;2578;Проект будущего;2910000;Ольга_МЖ;xX.8R0mqU2
3;Спартак Ефстафьевич Ильин;5981;Проект будущего;2373000;Спартак_ЕИ;hZrPNje)6d
4;Антонина Александровна Архипова;2706;Двигатель прогресса;676000;Антонина_АА;LrvDb3EOJr
5;Никандр Яковлевич Соловьев;9961;Меняющие реальность;1452000;Никандр_ЯС;alMOugxiRb
6;Святослав Тихонович Казаков;8349;Двигатель прогресса;935000;Святослав_ТК;ONnR0WrVG2
7;Дементий Филатович Потапов;8009;Меняющие реальность;2701000;Дементий_ФП;!eMg7sCoK7
8;Фёкла Тарасовна Филиппова;2726;Лидеры инноваций;2905000;Фёкла_ТФ;LT0Et6SyTp
9;Андрей Федотович Гришин;2088;Молодой новатор;2382000;Андрей_ФГ;tcdqHA2D8k
10;Творимир Юльевич Федоров;5981;Проект будущего;2693000;Творимир_ЮФ;s3M8l?zm7Y
11;Акулина Ефимовна Суханова;3760;Двигатель прогресса;980000;Акулина_ЕС;TlXSw1GVyn
12;Богдан Давидович Прохоров;8080;Молодой новатор;1900000;Богдан_ДП;RU4Ai1LF3l
13;Гордей Артемьевич Щербаков;1728;Лидеры инноваций;1369000;Гордей_АЩ;rn5M5tx)ey
14;Анна Александровна Владимирова;3554;Меняющие реальность;2723000;Анна_АВ;BLo!fIlic7
15;Глеб Гурьевич Селезнев;7702;Меняющие реальность;1801000;Глеб_ГС;1gczl5qavp
16;Спартак Владиленович Моисеев;6986;Двигатель прогресса;NULL;Спартак_ВМ;N8WEv1leH!
17;Август Давыдович Крюков;7318;Молодой новатор;380000;Август_ДК;sNLeUkTZoC
18;Автоном Афанасьевич Моисеев;5121;Двигатель прогресса;2636000;Автоном_АМ;t46ru.Cp7M
19;Карл Адамович Кузнецов;2414;Молодой новатор;NULL;Карл_АК;IUlhu1wb)N
20;Лука Трифонович Сафонов;3973;Двигатель прогресса;1801000;Лука_ТС;1m1.fFBI!A
21;Агата Никифоровна Жукова;9175;Лидеры инноваций;1165000;Агата_НЖ;YwgzxeEur7
22;Софрон Елисеевич Иванов;3296;Проект будущего;2827000;Софрон_ЕИ;EWDBe7VlUG
23;Антонина Константиновна Егорова;2308;Меняющие реальность;1779000;Антонина_КЕ;S??9PD0gCr
24;Антонина Мироновна Одинцова;7293;Проект будущего;1690000;Антонина_МО;!jTgVz4sdt
25;Маргарита Яковлевна Игнатова;2866;Меняющие реальность;2949000;Маргарита_ЯИ;prm6Z6tjxd
26;Автоном Марсович Савин;7416;Молодой новатор;2289000;Автоном_МС;!T8y9H0p6Y
27;Пелагея Викторовна Игнатьева;9891;Двигатель прогресса;499000;Пелагея_ВИ;qwLkYCHNXJ
28;Елисей Даниилович Карпов;5260;Лидеры инноваций;1882000;Елисей_ДК;2KNIxJEgEn
29;Трофим Феоктистович Терентьев;2034;Двигатель прогресса;1171000;Трофим_ФТ;MG(9o95QJ)
30;Татьяна Святославовна Копылова;1088;Меняющие реальность;731000;Татьяна_СК;wY.itCB!qO
31;Касьян Трифонович Егоров;1883;Меняющие реальность;2470000;Касьян_ТЕ;dCFMFPu8Iq
32;Олимпий Анатольевич Юдин;3468;Лидеры инноваций;1752000;Олимпий_АЮ;h6xVFqv)kn
33;Алевтина Вадимовна Васильева;8815;Молодой новатор;2138000;Алевтина_ВВ;8t1BNg7dyk
34;Агафья Константиновна Герасимова;6986;Двигатель прогресса;1490000;Агафья_КГ;Momfx0Aw6.
35;Фрол Федосьевич Шарапов;4535;Двигатель прогресса;2017000;Фрол_ФШ;WUzRCvJXME
36;Семен Богданович Зимин;5379;Проект будущего;304000;Семен_БЗ;b0GOjoqLHo
37;Нинель Николаевна Жукова;7603;Лидеры инноваций;2321000;Нинель_НЖ;3y34w25XzJ
38;Чеслав Владленович Шаров;7154;Лидеры инноваций;1958000;Чеслав_ВШ;LId(dT(.UG
39;Иннокентий Венедиктович Михеев;6986;Двигатель прогресса;977000;Иннокентий_ВМ;56PyvMbbnR
40;Галина Феликсовна Петухова;2484;Молодой новатор;906000;Галина_ФП;YpFal1zf(m
41;Ким Елисеевич Осипов;4388;Молодой новатор;1438000;Ким_ЕО;ivu1MLu7eo
42;Прасковья Алексеевна Панфилова;2292;Проект будущего;1900000;Прасковья_АП;sZpZRo9paV
43;Мартын Жанович Носков;6148;Проект будущего;2985000;Мартын_ЖН;s)91PqF0(k
44;Кира Захаровна Прохорова;7131;Молодой новатор;2202000;Кира_ЗП;WW.jNTmT6a
45;Вениамин Андреевич Антонов;1895;Меняющие реальность;806000;Вениамин_АА;dxInOHeAcx
46;Виктория Никифоровна Прохорова;1794;Молодой новатор;2455000;Виктория_НП;O!CWJUPp3x
47;Анжела Федоровна Пестова;8492;Проект будущего;2145000;Анжела_ФП;U)HW2qk4OU
48;Майя Леонидовна Хохлова;1939;Лидеры инноваций;617000;Майя_ЛХ;UgSuRnp997
49;Самсон Трифонович Якушев;7003;Лидеры инноваций;757000;Самсон_ТЯ;hrF7sOsAhY
50;Яков Матвеевич Маслов;8373;Меняющие реальность;1705000;Яков_ММ;26dGNOkr)n
51;Ювеналий Георгиевич Воронов;9178;Меняющие реальность;2288000;Ювеналий_ГВ;(CcM).0pN7
52;Анна Степановна Костина;3478;Меняющие реальность;1601000;Анна_СК;7wYH54BdKH
53;Артемий Якубович Зайцев;5884;Проект будущего;2532000;Артемий_ЯЗ;Pr.(1icFnm
54;Лавр Гурьевич Юдин;9698;Лидеры инноваций;132000;Лавр_ГЮ;ciyxzy9g0k
55;Агафья Эльдаровна Копылова;5298;Проект будущего;138000;Агафья_ЭК;pRfafHAI3d
56;Маргарита Владимировна Ермакова;4698;Меняющие реальность;1481000;Маргарита_ВЕ;lvP7Mb4H0H
57;Аникита Денисович Носов;8851;Проект будущего;1849000;Аникита_ДН;DPtFk?Xpkg
58;Владлен Арсеньевич Селиверстов;9698;Двигатель прогресса;2832000;Владлен_АС;(TOsCCH5rz
59;Елена Васильевна Белякова;7003;Лидеры инноваций;1172000;Елена_ВБ;OZfoz1g1cN
60;Ерофей Владиславович Тихонов;6362;Меняющие реальность;1659000;Ерофей_ВТ;nwzxu93hz0
61;Дмитрий Харлампович Бобылев;6106;Двигатель прогресса;261000;Дмитрий_ХБ;DbGfD8t69Q
62;Раиса Кузьминична Трофимова;4198;Меняющие реальность;NULL;Раиса_КТ;xqvsMDgO1z
63;Ирина Станиславовна Сорокина;2034;Меняющие реальность;571000;Ирина_СС;dCb?pOlI2A
64;Ангелина Яковлевна Силина;9728;Проект будущего;2817000;Ангелина_ЯС;jHT8Z!9FK6
65;Михей Жанович Устинов;7850;Молодой новатор;1159000;Михей_ЖУ;Eb86whFTBJ
66;Марина Богдановна Богданова;7980;Двигатель прогресса;2796000;Марина_ББ;KZ3pvAstNL
67;Аркадий Григорьевич Исаков;5981;Меняющие реальность;1861000;Аркадий_ГИ;lb8kXz4ILm
68;Стоян Фролович Рогов;4083;Проект будущего;1378000;Стоян_ФР;ma7JW0PCaI
69;Мстислав Артурович Антонов;9251;Проект будущего;633000;Мстислав_АА;mftR(ZzDLz
70;Аполлон Гаврилович Ширяев;1754;Проект будущего;1272000;Аполлон_ГШ;a.yF)Dm(D)
71;Анжелика Анатольевна Полякова;2414;Проект будущего;519000;Анжелика_АП;obtmfbw!ky
72;Елена Болеславовна Ермакова;2908;Молодой новатор;246000;Елена_БЕ;YzWwm57P.l
73;Агап Чеславович Емельянов;6535;Двигатель прогресса;1725000;Агап_ЧЕ;ux!rlEOav1
74;Леон Эдгарович Колобов;6106;Меняющие реальность;1296000;Леон_ЭК;iswj0aXBqd
75;Афиноген Бориславович Юдин;9516;Молодой новатор;1146000;Афиноген_БЮ;xP64PzgWOU
76;Агафья Аркадьевна Рябова;7954;Меняющие реальность;1223000;Агафья_АР;)E1ToCWbZo
77;София Валериевна Макарова;3383;Проект будущего;1776000;София_ВМ;hzOimVbj4w
78;Родион Авдеевич Власов;4056;Молодой новатор;1501000;Родион_АВ;HmJ3BOAUwF
